name,code
德銀遠東DWS全球生技創新基金美元級別,38529930B
柏瑞全球金牌組合基金,48570676
瀚亞全球高收益債券基金B-新台幣,26257384B
復華高益策略組合基金,25620891
華南永昌全球神農水資源基金,48963047
第一金中國世紀基金-人民幣,25620512B
野村多元資產動態平衡基金-月配類型美元計價,38653661D
統一龍馬基金,92012762
基金名稱,基金統編
群益葛萊美基金,48749899
台新2000高科技基金,17602821
群益安穩貨幣市場基金,97978525
保德信店頭市場基金,97988636
統一亞洲大金磚基金,31841577
野村環球高收益債基金-月配類型美元計價,38480612D
元大寶來中國平衡基金-人民幣,31830473B
華南永昌永昌基金,00973762
元大寶來富櫃50基金,26282102
瀚亞亞太豐收平衡基金A-南非幣,38621330G
富邦中國債券傘型之富邦中國優質債券基金-B類型(美元),31946404D
兆豐國際萬全基金,00971976
復華全球債券基金,14916692
華南永昌中國A股基金(新台幣),38546656A
元大寶來印度指數基金,26203825
野村台灣高股息基金,99973878
未來資產亞洲高收益債券基金B,26299194B
國泰小龍基金,01031874
群益新興大消費基金,26319641
華頓台灣基金,14694495
復華南非幣短期收益基金B,31901878B
復華南非幣短期收益基金A,31901878A
德銀遠東DWS多元集利組合基金累積型,25594177A
第一金新興市場投資等級債券基金A,26297013A
匯豐中國點心高收益債券基金(人民幣不配息),26396604B
野村鴻運基金,00968493
瀚亞新興亞洲當地貨幣債券基金A類型,31835499A
元大寶來全球國富債券基金(A)-不配息型,26297576A
永豐人民幣債券基金-新臺幣月配類型,42267705B
新光南非幣保本基金,38654839
統一大龍印基金,25637393
元大寶來台灣高股息基金,48966213
富邦中國債券傘型之富邦中國優質債券基金-A類型(美元),31946404C
野村全球高股息基金累積型新臺幣計價,94988015A
保德信全球中小基金,98755451
聯博收益成長傘型之聯博歐洲收益成長平衡基金-AD類型,38633201B
元大寶來雙盈基金,98636553
宏利中國離岸債券基金-B類型(新臺幣),26389097B
第一金全球高收益債券基金A,25593418A
第一金全球高收益債券基金B,25593418B
野村全球高股息基金-季配類型人民幣計價,94988015D
柏瑞新興市場企業策略債券基金-A類型,31827266A
柏瑞美國雙核心收益基金-B類型,48873398B
元大寶來全球成長基金,14696466
華南永昌金磚高收益債券基金(月配人民幣),31824578D
德信台灣主流中小基金,26288534
柏瑞新興亞太策略債券基金-A類型,38495354A
台新新興市場債券基金(B類型),31969530B
聯博亞太地產基金-B類型,48719071B
德盛安聯四季豐收債券組合基金-A類型(累積)-人民幣,26398976C
宏利萬利貨幣市場基金,83863973
匯豐富泰貨幣市場基金,92025871
德盛安聯目標收益基金-B類型(月配息)-新臺幣,38647774B
宏利美元高收益債券基金-B類型(澳幣避險),42267986G
野村貨幣市場基金,92024520
瀚亞非洲基金-新臺幣,10357632A
德銀遠東DWS科技基金,14545897
摩根亞洲總合高收益債券基金-月配息型(美元),26376229C
第一金全球多重資產入息平衡基金(配息型),38539992B
富蘭克林華美全球成長基金-新台幣,38639351A
野村全球美元投資級公司債基金-累積型新臺幣計價,25624144A
富蘭克林華美全球投資級債券基金-分配型,31920832B
元大寶來台商收成基金,48903180
宏利全球入息動態組合基金-A類型(美元),38530129C
元大寶來台灣加權股價指數基金,99346928
野村亞太複合高收益債基金-累積類型人民幣計價,26310557C
宏利台灣動力基金,17144889
華南永昌物聯網精選基金,42298518
群益工業國入息基金B(月配型-人民幣),38531773E
野村多元資產動態平衡基金-月配類型人民幣計價,38653661F
野村歐洲中小成長基金-新臺幣計價,38620711A
野村全球美元投資級公司債基金-累積類型人民幣計價,25624144C
柏瑞亞太高股息基金-B類型,48944099B
未來資產所羅門貨幣市場基金,18035966
摩根亞洲總合高收益債券基金-月配息型,26376229B
日盛上選基金,81584975
群益工業國入息基金A(累積型-新台幣),38531773A
復華東協世紀基金,26334404
聯博收益傘型基金之聯博債券收益組合基金-AA類型(新台幣),38522107B
匯豐亞洲高收益債券基金-月配型,26286281B
台新大眾貨幣市場基金,73987460
富邦精銳中小基金,20089755
柏瑞全球策略高收益債券基金-B類型(澳幣),10340936C
保德信好時債組合基金-累積型(A),31832319A
德盛安聯四季雙收入息組合基金-B類型(月配息)-美元,38481149D
群益全球新興收益債券基金-B(月配型),31892569B
群益印巴雙星基金,25675430
富邦策略高收益債券基金-B類型,31826230B
