name,code
聯博-全球債券基金A2股美元,ABGBPA2USD
施羅德環球基金系列-日本股票A類股份-累積單位,IJAED
GAMStar環球股票基金收息單位-美元,IE00B0HF2Z67
景順能源基金C(歐元對沖)股歐元,2060C6
安義多元資產-機構級歐洲動態管理基金,AZMAEDA
聯博-歐元區策略價值基金A股美元,ABESVAUSD
貝萊德美國增長型基金A2美元,BLKGROWM
路博邁投資基金-NB新興市場本地貨幣債券基金T月配息類股(澳幣),IE00BTLWSG96
聯博-成熟市場多元收益基金IX級別歐元,ABGCPIEUR
法巴百利達歐元貨幣市場基金C(歐元),LU0083138064
聯博-歐洲收益基金BA(穩定月配)級別歐元,ABEIOPBAEUR
路博邁投資基金-NB美國小型企業基金E累積類股(美元),IE00BNK02T39
鋒裕基金-環球高收益I2,PIMGHYI2
貝萊德世界金融基金C2美元,BLKMWFCC
英傑華投資-全球高收益債券基金(美元配息),1313LU0562505817
德意志全球新興市場股票USDLC,LU0273227784
天達環球策略基金-環球策略股票基金I收益股份,GPR500
野村基金(愛爾蘭系列)-美國高收益債券基金(TD美元類股),IE00B8QHD782
聯博-美國收益基金I股歐元,ABAIPIEUR
新加坡大華全球金融基金(星幣),UGCF
歐義銳榮歐非中東新勢力基金R2,LU0299359397
景順歐洲大陸企業基金A(美元對沖)股美元,1019A7
聯博-全球價值型基金I股美元,ABGVPIUSD
駿利資產管理基金-駿利靈活入息基金B美元入息,JANFIB1
富達基金－美國基金(A類股累計股份-澳幣避險),LU0963029086
柏瑞環球基金-柏瑞美國大型資本研究增值基金A,ALCRA
瑞萬通博基金-全球新能源基金,LU0138259550
富達基金-歐元債券基金A股累計美元避險,LU1046421522
富達基金－東南亞基金(歐元累積),LU0261946445
聯博-全球高收益債券基金AA(穩定月配)英鎊避險級別,ABGHYAAGBPH
柏瑞環球基金-柏瑞美國大型資本研究增值基金Y,ALCRY
德盛亞洲總回報股票基金-AM穩定月收類股(美元),AGIF-TRM
法儲銀盧米斯賽勒斯債券基金I-AUSD,IE00B23XCZ83
法巴百利達全球主要消費品股票基金I(歐元),LU0823412183
貝萊德太平洋股票基金A2英鎊,BLKPEAMA
德意志全球高股息美元避險級別USDLCH(P),LU0544572604
聯博-房貸收益基金C2X級別美元,ABSMDC2USD
施羅德環球基金系列-美國大型股C類股份-累積單位(歐元),AUSEF
NN(L)食品飲料基金P股美元,NNFBPUSD
天利(盧森堡)-美國選擇基金(美元),000AMEFEUA
木星全球系列-木星動力債券基金L類股美元避險每月收益,LU0992293067
駿利資產管理基金-駿利靈活入息基金I美元入息,JANFIII
富達基金－美元債券基金(A股月配息),LU0168055563
鋒裕基金-美國高息TXD,PIMUSYTXD
NN(L)環球高股息基金X股歐元,NNGHDXEUR
摩根環球靈活策略股票基金-摩根環球靈活策略股票－A股(分派),JFGEF
匯豐環球投資基金-英國股票ID,TUKID
富蘭克林坦伯頓全球投資系列－成長(歐元)基金歐元A(Ydis)股,0613
施羅德環球基金系列-環球小型公司A1類股份-累積單位,IGSCG
施羅德環球基金系列-環球小型公司C類股份-累積單位,IGSCF
施羅德環球基金系列-環球收益股票(歐元)A1類股份-累積單位,AGEYG
施羅德環球基金系列-環球收益股票C類股份-累積單位,AGEYF
首域環球傘型基金-首域中國核心基金-第四類股-USD,FSIFCF4
MFS全盛基金系列-MFS全盛美國價值基金B1(美元),MFSVAB1
貝萊德全球股票收益基金A8多幣別穩定月配息股份-澳幣避險,BLKGEIAA
摩根基金-摩根亞太入息基金(美元)-A股(分派),JFPABF
摩根環球企業債券基金(美元)－A股(每月派息),GCBAMU
聯博-日本策略價值基金A股歐元,ABJSVAEUR
安本環球-新興市場當地貨幣債券基金A1,AEEMLCB
富蘭克林高科技基金美元A股,108
百達-保安-R美元,LU0256846568
美盛西方資產全球藍籌債券基金優類股美元累積型,IE00B4Y6FS49
鋒裕基金-環球生態I2(歐元),PIMGECUI
聯博-新興市場多元收益基金AD月配澳幣避險級別,ABEMMAADAUDH
富蘭克林坦伯頓中小型公司成長基金A股,103
富蘭克林坦伯頓成長基金A股,101
貝萊德全球股票收益基金A6美元(穩定配息),BLKGEIAU
富蘭克林公用事業基金美元A股,107
富蘭克林坦伯頓外國基金A股,104
施羅德環球基金系列-新興市場股債優勢A類股份-累積單位,IGEMD
駿利資產管理基金-駿利美國20基金I股歐元累計(對沖),JATWIIE
景順歐洲大陸企業基金A-年配息股美元,1019AY
駿利資產管理基金-英達美國重點基金A美元累計,JANRMAD
駿利資產管理基金-英達美國重點基金A股歐元累計(對沖),JANRMAE
天利(盧森堡)-新興市場債券基金(美元),000EPCEMDI
美盛銳思美國小型公司基金優類股美元累積型,IE00B23ZBZ74
富蘭克林坦伯頓全球投資系列-精選收益基金美元A(acc)股,0426
瀚亞投資─中國股票基金Andmc1(紐幣避險穩定月配),CE4
宏利環球基金－美國債券基金AA股,MGF18
宏利環球基金－美國特別機會基金AA股,MGF19
貝萊德歐元市場基金A4歐元,BLKFMKAA
宏利環球基金-印度股票基金AA股,MGF14
