基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
貝萊德環球動力股票基金A2歐元,BlackRockGlobalFund-GlobalDynamicEquityFundA2EUR,股票型-一般型,全球-已開發市場,61.533870,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球股票收益基金A2美元,BlackRockGlobalFund-GlobalEquityIncomeFundA2USD,股票型-一般型,全球-已開發市場,644.829264,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球股票收益基金A8多幣別穩定月配息股份-南非幣避險,BlackRockGlobalFund-GlobalEquityIncomeFundA8ZARHedged,股票型-一般型,全球-已開發市場,24.298158,南非幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球股票收益基金A8多幣別穩定月配息股份-澳幣避險,BlackRockGlobalFund-GlobalEquityIncomeFundA8AUDHedged,股票型-一般型,全球-已開發市場,103.969380,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球股票收益基金A6美元(穩定配息),BlackRockGlobalFund-GlobalEquityIncomeFundA6USD,股票型-一般型,全球-已開發市場,218.742348,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球政府債券基金HedgedA3歐元,BlackRockGlobalFund-GlobalGovernmentBondFundHedgedA3EUR,固定收益型-政府債,全球-已開發市場,41.554365,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球政府債券基金HedgedC2歐元,BlackRockGlobalFund-GlobalGovernmentBondFundHedgedC2EUR,固定收益型-政府債,全球-已開發市場,2.969651,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球政府債券基金HedgedA2歐元,BlackRockGlobalFund-GlobalGovernmentBondFundHedgedA2EUR,固定收益型-政府債,全球-已開發市場,71.114708,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金A6美元(穩定配息),BlackRockGlobalFund-GlobalHighYieldBondFundA6USD,固定收益型-高收益債券,全球-已開發市場,342.308484,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球高收益債券基金HedgedC3歐元,BlackRockGlobalFund-GlobalHighYieldBondFundHedgedC3EUR,固定收益型-高收益債券,全球-已開發市場,0.000000,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球通膨連結債券基金HedgedA2歐元,BlackRockGlobalFund-GlobalInflationLinkedBondFundHedgedA2EUR,固定收益型-通膨聯繫債券,全球-已開發市場,8.812070,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球通膨連結債券基金A3美元,BlackRockGlobalFund-GlobalInflationLinkedBondFundA3USD,固定收益型-通膨聯繫債券,全球-已開發市場,4.261304,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德全球股票收益基金HedgedA2歐元,BlackRockGlobalFund-GlobalEquityIncomeFundHedgedA2EUR,股票型-一般型,全球-已開發市場,56.948435,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球資產配置基金A2美元,BlackRockGlobalFund-GlobalAllocationFundA2USD,平衡型(混合型)-平衡型(混合型),全球-已開發市場,8049.761482,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
